ID,Time[s],1:UART: RX/TX
0,0.561361,Start bit
1,0.561465,[FF]
2,0.562298,Stop bit
3,0.562401,Start bit
4,0.562505,[FF]
5,0.563338,Stop bit
6,0.563442,Start bit
7,0.563546,[FF]
8,0.564379,Stop bit
9,0.564482,Start bit
10,0.564586,[FF]
11,0.565419,Stop bit
12,0.565522,Start bit
13,0.565626,[FF]
14,0.566459,Stop bit
15,0.566562,Start bit
16,0.566666,[FF]
17,0.567499,Stop bit
18,0.567602,Start bit
19,0.567706,[FF]
20,0.568539,Stop bit
21,0.568643,Start bit
22,0.568747,[FF]
23,0.56958,Stop bit
24,0.569683,Start bit
25,0.569787,[00]
26,0.57062,Stop bit
27,0.570723,Start bit
28,0.570827,[FF]
29,0.57166,Stop bit
30,0.571763,Start bit
31,0.571867,[A5]
32,0.5727,Stop bit
33,0.572803,Start bit
34,0.572907,[01]
35,0.57374,Stop bit
36,0.573844,Start bit
37,0.573948,[0F]
38,0.574781,Stop bit
39,0.574884,Start bit
40,0.574988,[10]
41,0.575821,Stop bit
42,0.575924,Start bit
43,0.576028,[02]
44,0.576861,Stop bit
45,0.576964,Start bit
46,0.577068,[1D]
47,0.577901,Stop bit
48,0.578004,Start bit
49,0.578108,[0D]
50,0.578941,Stop bit
51,0.579044,Start bit
52,0.579148,)
53,0.579981,Stop bit
54,0.580085,Start bit
55,0.580189,[00]
56,0.581022,Stop bit
57,0.581125,Start bit
58,0.581229,[00]
59,0.582062,Stop bit
60,0.582165,Start bit
61,0.582269,[00]
62,0.583102,Stop bit
63,0.583205,Start bit
64,0.583309,[00]
65,0.584142,Stop bit
66,0.584245,Start bit
67,0.584349,[00]
68,0.585182,Stop bit
69,0.585286,Start bit
70,0.58539,[00]
71,0.586223,Stop bit
72,0.586326,Start bit
73,0.58643,[00]
74,0.587263,Stop bit
75,0.587366,Start bit
76,0.58747,[00]
77,0.588303,Stop bit
78,0.588406,Start bit
79,0.58851,[00]
80,0.589343,Stop bit
81,0.589446,Start bit
82,0.58955,[00]
83,0.590383,Stop bit
84,0.590487,Start bit
85,0.590591,[00]
86,0.591424,Stop bit
87,0.591527,Start bit
88,0.591631,[01]
89,0.592464,Stop bit
90,0.592567,Start bit
91,0.592671,A
92,0.593504,Stop bit
93,0.593607,Start bit
94,0.593711,A
95,0.594544,Stop bit
96,0.594647,Start bit
97,0.594751,[02]
98,0.595584,Stop bit
99,0.595688,Start bit
100,0.595792,P
101,0.596625,Stop bit
102,0.596728,Start bit
103,0.596832,D
104,0.597665,Stop bit
105,0.597768,Start bit
106,0.597872,[FF]
107,0.598705,Stop bit
108,0.598808,Start bit
109,0.598912,[02]
110,0.599745,Stop bit
111,0.599848,Start bit
112,0.599952,(
113,0.600785,Stop bit
114,0.600888,Start bit
115,0.600992,[04]
116,0.601825,Stop bit
117,0.601929,Start bit
118,0.602033,[00]
119,0.602866,Stop bit
120,0.602969,Start bit
121,0.603073,[00]
122,0.603906,Stop bit
123,0.604009,Start bit
124,0.604113,[00]
125,0.604946,Stop bit
126,0.605049,Start bit
127,0.605153,[00]
128,0.605986,Stop bit
129,0.606089,Start bit
130,0.606193,)
131,0.607026,Stop bit
132,0.60713,Start bit
133,0.607234,[0B]
134,0.608067,Stop bit
135,0.60817,Start bit
136,0.608274,[03]
137,0.609107,Stop bit
138,0.60921,Start bit
139,0.609314,[94]
140,0.610147,Stop bit
141,0.610251,Start bit
142,0.610355,[FF]
143,0.611188,Stop bit
144,1.06523,Start bit
145,1.06533,[FF]
146,1.06617,Stop bit
147,1.06627,Start bit
148,1.06637,[00]
149,1.06721,Stop bit
150,1.06731,Start bit
151,1.06741,[FF]
152,1.06825,Stop bit
153,1.06835,Start bit
154,1.06845,[A5]
155,1.06929,Stop bit
156,1.06939,Start bit
157,1.06949,[00]
158,1.07033,Stop bit
159,1.07043,Start bit
160,1.07054,[90]
161,1.07137,Stop bit
162,1.07147,Start bit
163,1.07157,[10]
164,1.07241,Stop bit
165,1.07251,Start bit
166,1.07261,[D2]
167,1.07345,Stop bit
168,1.07355,Start bit
169,1.07366,[01]
170,1.07449,Stop bit
171,1.07459,Start bit
172,1.0747,[D2]
173,1.07553,Stop bit
174,1.07563,Start bit
175,1.07574,[02]
176,1.07657,Stop bit
177,1.07667,Start bit
178,1.07678,[EA]
179,1.07761,Stop bit
180,1.07771,Start bit
181,1.07782,[FF]
182,1.07865,Stop bit
183,2.581,Start bit
184,2.5811,[FF]
185,2.58193,Stop bit
186,2.58204,Start bit
187,2.58214,[FF]
188,2.58297,Stop bit
189,2.58308,Start bit
190,2.58318,[FF]
191,2.58401,Stop bit
192,2.58412,Start bit
193,2.58422,[FF]
194,2.58505,Stop bit
195,2.58516,Start bit
196,2.58526,[FF]
197,2.58609,Stop bit
198,2.5862,Start bit
199,2.5863,[FF]
200,2.58713,Stop bit
201,2.58724,Start bit
202,2.58734,[FF]
203,2.58817,Stop bit
204,2.58828,Start bit
205,2.58838,[FF]
206,2.58921,Stop bit
207,2.58932,Start bit
208,2.58942,[00]
209,2.59025,Stop bit
210,2.59036,Start bit
211,2.59046,[FF]
212,2.59129,Stop bit
213,2.5914,Start bit
214,2.5915,[A5]
215,2.59233,Stop bit
216,2.59244,Start bit
217,2.59254,[01]
218,2.59337,Stop bit
219,2.59348,Start bit
220,2.59358,[0F]
221,2.59442,Stop bit
222,2.59452,Start bit
223,2.59462,[10]
224,2.59546,Stop bit
225,2.59556,Start bit
226,2.59566,[02]
227,2.5965,Stop bit
228,2.5966,Start bit
229,2.5967,[1D]
230,2.59754,Stop bit
231,2.59764,Start bit
232,2.59774,[0D]
233,2.59858,Stop bit
234,2.59868,Start bit
235,2.59878,)
236,2.59962,Stop bit
237,2.59972,Start bit
238,2.59982,[00]
239,2.60066,Stop bit
240,2.60076,Start bit
241,2.60086,[00]
242,2.6017,Stop bit
243,2.6018,Start bit
244,2.6019,[00]
245,2.60274,Stop bit
246,2.60284,Start bit
247,2.60294,[00]
248,2.60378,Stop bit
249,2.60388,Start bit
250,2.60398,[00]
251,2.60482,Stop bit
252,2.60492,Start bit
253,2.60502,[00]
254,2.60586,Stop bit
255,2.60596,Start bit
256,2.60607,[00]
257,2.6069,Stop bit
258,2.607,Start bit
259,2.6071,[00]
260,2.60794,Stop bit
261,2.60804,Start bit
262,2.60814,[00]
263,2.60898,Stop bit
264,2.60908,Start bit
265,2.60919,[00]
266,2.61002,Stop bit
267,2.61012,Start bit
268,2.61023,[00]
269,2.61106,Stop bit
270,2.61116,Start bit
271,2.61127,[01]
272,2.6121,Stop bit
273,2.6122,Start bit
274,2.61231,A
275,2.61314,Stop bit
276,2.61324,Start bit
277,2.61335,A
278,2.61418,Stop bit
279,2.61428,Start bit
280,2.61439,[02]
281,2.61522,Stop bit
282,2.61532,Start bit
283,2.61543,P
284,2.61626,Stop bit
285,2.61636,Start bit
286,2.61647,D
287,2.6173,Stop bit
288,2.6174,Start bit
289,2.61751,[FF]
290,2.61834,Stop bit
291,2.61844,Start bit
292,2.61855,[02]
293,2.61938,Stop bit
294,2.61948,Start bit
295,2.61959,(
296,2.62042,Stop bit
297,2.62052,Start bit
298,2.62063,[04]
299,2.62146,Stop bit
300,2.62156,Start bit
301,2.62167,[00]
302,2.6225,Stop bit
303,2.6226,Start bit
304,2.62271,[00]
305,2.62354,Stop bit
306,2.62364,Start bit
307,2.62375,[00]
308,2.62458,Stop bit
309,2.62468,Start bit
310,2.62479,[00]
311,2.62562,Stop bit
312,2.62572,Start bit
313,2.62583,)
314,2.62666,Stop bit
315,2.62676,Start bit
316,2.62687,[0B]
317,2.6277,Stop bit
318,2.6278,Start bit
319,2.62791,[03]
320,2.62874,Stop bit
321,2.62885,Start bit
322,2.62895,[94]
323,2.62978,Stop bit
324,2.62989,Start bit
325,2.62999,[FF]
326,2.63082,Stop bit
327,3.08871,Start bit
328,3.08882,[FF]
329,3.08965,Stop bit
330,3.08975,Start bit
331,3.08986,[00]
332,3.09069,Stop bit
333,3.09079,Start bit
334,3.0909,[FF]
335,3.09173,Stop bit
336,3.09183,Start bit
337,3.09194,[A5]
338,3.09277,Stop bit
339,3.09287,Start bit
340,3.09298,[00]
341,3.09381,Stop bit
342,3.09391,Start bit
343,3.09402,[90]
344,3.09485,Stop bit
345,3.09495,Start bit
346,3.09506,[10]
347,3.09589,Stop bit
348,3.09599,Start bit
349,3.0961,[D2]
350,3.09693,Stop bit
351,3.09703,Start bit
352,3.09714,[01]
353,3.09797,Stop bit
354,3.09807,Start bit
355,3.09818,[D2]
356,3.09901,Stop bit
357,3.09911,Start bit
358,3.09922,[02]
359,3.10005,Stop bit
360,3.10016,Start bit
361,3.10026,[EA]
362,3.10109,Stop bit
363,3.1012,Start bit
364,3.1013,[FF]
365,3.10213,Stop bit
366,4.59262,Start bit
367,4.59273,[FF]
368,4.59356,Stop bit
369,4.59366,Start bit
370,4.59377,[FF]
371,4.5946,Stop bit
372,4.5947,Start bit
373,4.59481,[FF]
374,4.59564,Stop bit
375,4.59574,Start bit
376,4.59585,[FF]
377,4.59668,Stop bit
378,4.59678,Start bit
379,4.59689,[FF]
380,4.59772,Stop bit
381,4.59782,Start bit
382,4.59793,[FF]
383,4.59876,Stop bit
384,4.59886,Start bit
385,4.59897,[FF]
386,4.5998,Stop bit
387,4.5999,Start bit
388,4.60001,[FF]
389,4.60084,Stop bit
390,4.60094,Start bit
391,4.60105,[00]
392,4.60188,Stop bit
393,4.60198,Start bit
394,4.60209,[FF]
395,4.60292,Stop bit
396,4.60302,Start bit
397,4.60313,[A5]
398,4.60396,Stop bit
399,4.60406,Start bit
400,4.60417,[01]
401,4.605,Stop bit
402,4.6051,Start bit
403,4.60521,[0F]
404,4.60604,Stop bit
405,4.60614,Start bit
406,4.60625,[10]
407,4.60708,Stop bit
408,4.60718,Start bit
409,4.60729,[02]
410,4.60812,Stop bit
411,4.60823,Start bit
412,4.60833,[1D]
413,4.60916,Stop bit
414,4.60926,Start bit
415,4.60937,[0D]
416,4.6102,Stop bit
417,4.6103,Start bit
418,4.61041,)
419,4.61124,Stop bit
420,4.61135,Start bit
421,4.61145,[00]
422,4.61228,Stop bit
423,4.61238,Start bit
424,4.61249,[00]
425,4.61332,Stop bit
426,4.61343,Start bit
427,4.61353,[00]
428,4.61436,Stop bit
429,4.61447,Start bit
430,4.61457,[00]
431,4.6154,Stop bit
432,4.61551,Start bit
433,4.61561,[00]
434,4.61644,Stop bit
435,4.61655,Start bit
436,4.61665,[00]
437,4.61748,Stop bit
438,4.61759,Start bit
439,4.61769,[00]
440,4.61852,Stop bit
441,4.61863,Start bit
442,4.61873,[00]
443,4.61956,Stop bit
444,4.61967,Start bit
445,4.61977,[00]
446,4.6206,Stop bit
447,4.62071,Start bit
448,4.62081,[00]
449,4.62164,Stop bit
450,4.62175,Start bit
451,4.62185,[00]
452,4.62268,Stop bit
453,4.62279,Start bit
454,4.62289,[01]
455,4.62372,Stop bit
456,4.62383,Start bit
457,4.62393,A
458,4.62477,Stop bit
459,4.62487,Start bit
460,4.62497,A
461,4.6258,Stop bit
462,4.62591,Start bit
463,4.62601,[02]
464,4.62684,Stop bit
465,4.62695,Start bit
466,4.62705,P
467,4.62789,Stop bit
