ID,Time[s],1:UART: RX/TX
0,0.942732,Start bit
1,0.942836,FF
2,0.943669,Stop bit
3,0.943772,Start bit
4,0.943876,FF
5,0.944709,Stop bit
6,0.944813,Start bit
7,0.944917,FF
8,0.94575,Stop bit
9,0.945853,Start bit
10,0.945957,FF
11,0.94679,Stop bit
12,0.946893,Start bit
13,0.946997,FF
14,0.94783,Stop bit
15,0.947933,Start bit
16,0.948037,FF
17,0.94887,Stop bit
18,0.948973,Start bit
19,0.949077,FF
20,0.94991,Stop bit
21,0.950013,Start bit
22,0.950117,FF
23,0.95095,Stop bit
24,0.951054,Start bit
25,0.951158,00
26,0.951991,Stop bit
27,0.952094,Start bit
28,0.952198,FF
29,0.953031,Stop bit
30,0.953134,Start bit
31,0.953238,A5
32,0.954071,Stop bit
33,0.954174,Start bit
34,0.954278,01
35,0.955111,Stop bit
36,0.955214,Start bit
37,0.955318,0F
38,0.956151,Stop bit
39,0.956255,Start bit
40,0.956359,10
41,0.957192,Stop bit
42,0.957295,Start bit
43,0.957399,02
44,0.958232,Stop bit
45,0.958335,Start bit
46,0.958439,1D
47,0.959272,Stop bit
48,0.959375,Start bit
49,0.959479,0F
50,0.960312,Stop bit
51,0.960415,Start bit
52,0.960519,19
53,0.961352,Stop bit
54,0.961456,Start bit
55,0.96156,00
56,0.962393,Stop bit
57,0.962496,Start bit
58,0.9626,00
59,0.963433,Stop bit
60,0.963536,Start bit
61,0.96364,00
62,0.964473,Stop bit
63,0.964576,Start bit
64,0.96468,00
65,0.965513,Stop bit
66,0.965616,Start bit
67,0.96572,00
68,0.966553,Stop bit
69,0.966657,Start bit
70,0.966761,00
71,0.967594,Stop bit
72,0.967697,Start bit
73,0.967801,00
74,0.968634,Stop bit
75,0.968737,Start bit
76,0.968841,00
77,0.969674,Stop bit
78,0.969777,Start bit
79,0.969881,00
80,0.970714,Stop bit
81,0.970817,Start bit
82,0.970921,00
83,0.971754,Stop bit
84,0.971857,Start bit
85,0.971961,00
86,0.972794,Stop bit
87,0.972898,Start bit
88,0.973002,01
89,0.973835,Stop bit
90,0.973938,Start bit
91,0.974042,42
92,0.974875,Stop bit
93,0.974978,Start bit
94,0.975082,42
95,0.975915,Stop bit
96,0.976018,Start bit
97,0.976122,02
98,0.976955,Stop bit
99,0.977058,Start bit
100,0.977162,50
101,0.977995,Stop bit
102,0.978099,Start bit
103,0.978203,47
104,0.979036,Stop bit
105,0.979139,Start bit
106,0.979243,FF
107,0.980076,Stop bit
108,0.980179,Start bit
109,0.980283,02
110,0.981116,Stop bit
111,0.981219,Start bit
112,0.981323,28
113,0.982156,Stop bit
114,0.982259,Start bit
115,0.982363,04
116,0.983196,Stop bit
117,0.9833,Start bit
118,0.983404,00
119,0.984237,Stop bit
120,0.98434,Start bit
121,0.984444,00
122,0.985277,Stop bit
123,0.98538,Start bit
124,0.985484,00
125,0.986317,Stop bit
126,0.98642,Start bit
127,0.986524,00
128,0.987357,Stop bit
129,0.98746,Start bit
130,0.987564,29
131,0.988397,Stop bit
132,0.988501,Start bit
133,0.988605,0B
134,0.989438,Stop bit
135,0.989541,Start bit
136,0.989645,03
137,0.990478,Stop bit
138,0.990581,Start bit
139,0.990685,8B
140,0.991518,Stop bit
141,0.991622,Start bit
142,0.991726,FF
143,0.992559,Stop bit
144,1.00008,Start bit
145,1.00018,00
146,1.00101,Stop bit
147,1.01288,Start bit
148,1.01298,00
149,1.01382,Stop bit
150,1.01659,Start bit
151,1.01669,FF
152,1.01752,Stop bit
153,1.01763,Start bit
154,1.01773,FF
155,1.01856,Stop bit
156,1.01867,Start bit
157,1.01877,FF
158,1.0196,Stop bit
159,1.01971,Start bit
160,1.01981,FF
161,1.02064,Stop bit
162,1.02075,Start bit
163,1.02085,FF
164,1.02168,Stop bit
165,1.02179,Start bit
166,1.02189,FF
167,1.02272,Stop bit
168,1.02283,Start bit
169,1.02293,FF
170,1.02376,Stop bit
171,1.02387,Start bit
172,1.02397,FF
173,1.0248,Stop bit
174,1.02491,Start bit
175,1.02501,00
176,1.02584,Stop bit
177,1.02595,Start bit
178,1.02605,FF
179,1.02688,Stop bit
180,1.02699,Start bit
181,1.02709,A5
182,1.02792,Stop bit
183,1.02803,Start bit
184,1.02813,01
185,1.02896,Stop bit
186,1.02907,Start bit
187,1.02917,20
188,1.03001,Stop bit
189,1.03011,Start bit
190,1.03021,10
191,1.03104,Stop bit
192,1.03115,Start bit
193,1.03125,01
194,1.03208,Stop bit
195,1.03219,Start bit
196,1.03229,01
197,1.03313,Stop bit
198,1.03323,Start bit
199,1.03333,86
200,1.03417,Stop bit
201,1.03427,Start bit
202,1.03437,01
203,1.03521,Stop bit
204,1.03531,Start bit
205,1.03541,5E
206,1.03625,Stop bit
207,1.03635,Start bit
208,1.03645,FF
209,1.03729,Stop bit
210,1.0661,Start bit
211,1.0662,FF
212,1.06704,Stop bit
213,1.06714,Start bit
214,1.06724,FF
215,1.06808,Stop bit
216,1.06818,Start bit
217,1.06828,FF
218,1.06912,Stop bit
219,1.06922,Start bit
220,1.06932,FF
221,1.07016,Stop bit
222,1.07026,Start bit
223,1.07036,FF
224,1.0712,Stop bit
225,1.0713,Start bit
226,1.0714,FF
227,1.07224,Stop bit
228,1.07234,Start bit
229,1.07244,FF
230,1.07328,Stop bit
231,1.07338,Start bit
232,1.07348,FF
233,1.07432,Stop bit
234,1.07442,Start bit
235,1.07452,00
236,1.07536,Stop bit
237,1.07546,Start bit
238,1.07556,FF
239,1.0764,Stop bit
240,1.0765,Start bit
241,1.07661,A5
242,1.07744,Stop bit
243,1.07754,Start bit
244,1.07764,01
245,1.07848,Stop bit
246,1.07858,Start bit
247,1.07868,0F
248,1.07952,Stop bit
249,1.07962,Start bit
250,1.07973,10
251,1.08056,Stop bit
252,1.08066,Start bit
253,1.08076,02
254,1.0816,Stop bit
255,1.0817,Start bit
256,1.08181,1D
257,1.08264,Stop bit
258,1.08274,Start bit
259,1.08285,0F
260,1.08368,Stop bit
261,1.08378,Start bit
262,1.08389,19
263,1.08472,Stop bit
264,1.08482,Start bit
265,1.08493,20
266,1.08576,Stop bit
267,1.08586,Start bit
268,1.08597,00
269,1.0868,Stop bit
270,1.0869,Start bit
271,1.08701,00
272,1.08784,Stop bit
273,1.08794,Start bit
274,1.08805,00
275,1.08888,Stop bit
276,1.08898,Start bit
277,1.08909,00
278,1.08992,Stop bit
279,1.09002,Start bit
280,1.09013,00
281,1.09096,Stop bit
282,1.09106,Start bit
283,1.09117,00
284,1.092,Stop bit
285,1.0921,Start bit
286,1.09221,00
287,1.09304,Stop bit
288,1.09314,Start bit
289,1.09325,00
290,1.09408,Stop bit
291,1.09418,Start bit
292,1.09429,00
293,1.09512,Stop bit
294,1.09522,Start bit
295,1.09533,00
296,1.09616,Stop bit
297,1.09626,Start bit
298,1.09637,01
299,1.0972,Stop bit
300,1.0973,Start bit
301,1.09741,42
302,1.09824,Stop bit
303,1.09834,Start bit
304,1.09845,42
305,1.09928,Stop bit
306,1.09939,Start bit
307,1.09949,02
308,1.10032,Stop bit
309,1.10042,Start bit
310,1.10053,50
311,1.10136,Stop bit
312,1.10146,Start bit
313,1.10157,47
314,1.1024,Stop bit
315,1.1025,Start bit
316,1.10261,FF
317,1.10344,Stop bit
318,1.10355,Start bit
319,1.10365,02
320,1.10448,Stop bit
321,1.10459,Start bit
322,1.10469,28
323,1.10552,Stop bit
324,1.10563,Start bit
325,1.10573,04
326,1.10656,Stop bit
327,1.10667,Start bit
328,1.10677,00
329,1.1076,Stop bit
330,1.10771,Start bit
331,1.10781,00
332,1.10864,Stop bit
333,1.10875,Start bit
334,1.10885,00
335,1.10968,Stop bit
336,1.10979,Start bit
337,1.10989,00
338,1.11072,Stop bit
339,1.11083,Start bit
340,1.11093,29
341,1.11176,Stop bit
342,1.11187,Start bit
343,1.11197,0B
344,1.1128,Stop bit
345,1.11291,Start bit
346,1.11301,03
347,1.11384,Stop bit
348,1.11395,Start bit
349,1.11405,AB
350,1.11488,Stop bit
351,1.11499,Start bit
352,1.11509,FF
353,1.11593,Stop bit
354,1.56518,Start bit
355,1.56529,FF
356,1.56612,Stop bit
357,1.56622,Start bit
358,1.56633,00
359,1.56716,Stop bit
360,1.56726,Start bit
361,1.56737,FF
362,1.5682,Stop bit
363,1.5683,Start bit
364,1.56841,A5
365,1.56924,Stop bit
366,1.56934,Start bit
367,1.56945,00
368,1.57028,Stop bit
369,1.57038,Start bit
370,1.57049,90
371,1.57132,Stop bit
372,1.57142,Start bit
373,1.57153,10
374,1.57236,Stop bit
375,1.57246,Start bit
376,1.57257,D2
377,1.5734,Stop bit
378,1.5735,Start bit
379,1.57361,01
380,1.57444,Stop bit
381,1.57454,Start bit
382,1.57465,D2
383,1.57548,Stop bit
384,1.57558,Start bit
385,1.57569,02
386,1.57652,Stop bit
387,1.57662,Start bit
388,1.57673,EA
389,1.57756,Stop bit
390,1.57767,Start bit
391,1.57777,FF
392,1.5786,Stop bit
393,1.88494,Start bit
394,1.88504,FF
395,1.88587,Stop bit
396,1.88598,Start bit
397,1.88608,00
398,1.88691,Stop bit
399,1.88702,Start bit
400,1.88712,FF
401,1.88795,Stop bit
402,1.88806,Start bit
403,1.88816,A5
404,1.88899,Stop bit
405,1.8891,Start bit
406,1.8892,00
407,1.89003,Stop bit
408,1.89014,Start bit
409,1.89024,60
410,1.89107,Stop bit
411,1.89118,Start bit
412,1.89128,10
413,1.89211,Stop bit
414,1.89222,Start bit
415,1.89232,04
416,1.89316,Stop bit
417,1.89326,Start bit
418,1.89336,01
419,1.8942,Stop bit
420,1.8943,Start bit
421,1.8944,FF
422,1.89524,Stop bit
423,1.89534,Start bit
424,1.89544,02
425,1.89628,Stop bit
426,1.89638,Start bit
427,1.89648,19
428,1.89732,Stop bit
429,1.89742,Start bit
430,1.89752,FF
431,1.89836,Stop bit
432,1.90683,Start bit
433,1.90694,FF
434,1.90777,Stop bit
435,1.90787,Start bit
436,1.90797,00
437,1.90881,Stop bit
438,1.90891,Start bit
439,1.90901,FF
440,1.90985,Stop bit
441,1.90995,Start bit
442,1.91005,A5
443,1.91089,Stop bit
444,1.91099,Start bit
445,1.91109,00
446,1.91193,Stop bit
447,1.91203,Start bit
448,1.91213,10
449,1.91297,Stop bit
450,1.91307,Start bit
451,1.91317,60
452,1.91401,Stop bit
453,1.91411,Start bit
454,1.91421,04
455,1.91505,Stop bit
456,1.91515,Start bit
457,1.91525,01
458,1.91609,Stop bit
459,1.91619,Start bit
460,1.91629,FF
461,1.91713,Stop bit
462,1.91723,Start bit
463,1.91734,02
464,1.91817,Stop bit
465,1.91827,Start bit
466,1.91837,19
467,1.91921,Stop bit
468,1.92218,Start bit
469,1.92228,FF
470,1.92311,Stop bit
471,1.92322,Start bit
472,1.92332,00
473,1.92415,Stop bit
474,1.92426,Start bit
475,1.92436,FF
476,1.92519,Stop bit
477,1.9253,Start bit
478,1.9254,A5
479,1.92623,Stop bit
480,1.92634,Start bit
481,1.92644,00
482,1.92727,Stop bit
483,1.92738,Start bit
484,1.92748,60
485,1.92831,Stop bit
486,1.92842,Start bit
487,1.92852,10
488,1.92935,Stop bit
