ID,Time[s],1:UART: RX/TX
0,1.00006,Start bit
1,1.00017,FF
2,1.001,Stop bit
3,1.00111,Start bit
4,1.00121,00
5,1.00204,Stop bit
6,1.00215,Start bit
7,1.00225,FF
8,1.00309,Stop bit
9,1.00319,Start bit
10,1.00329,A5
11,1.00413,Stop bit
12,1.00423,Start bit
13,1.00434,01
14,1.00517,Stop bit
15,1.00527,Start bit
16,1.00538,10
17,1.00621,Stop bit
18,1.00632,Start bit
19,1.00642,20
20,1.00725,Stop bit
21,1.00736,Start bit
22,1.00746,86
23,1.00829,Stop bit
24,1.0084,Start bit
25,1.0085,02
26,1.00934,Stop bit
27,1.00944,Start bit
28,1.00954,06
29,1.01038,Stop bit
30,1.01048,Start bit
31,1.01059,01
32,1.01142,Stop bit
33,1.01153,Start bit
34,1.01163,01
35,1.01246,Stop bit
36,1.01257,Start bit
37,1.01267,65
38,1.0135,Stop bit
