; CSV, generated by libsigrok4DSL 0.2.0 on Wed Apr 17 14:33:03 2019
; Channels (3/16)
; Sample rate: 1 MHz
; Sample count: 9.562816M Samples
Time(s), 0: RX, 1: TX, 2: DE
0,1,1,0
0.942732,0,1,0
0.942836,1,1,0
0.943772,0,1,0
0.943876,1,1,0
0.944813,0,1,0
0.944917,1,1,0
0.945853,0,1,0
0.945957,1,1,0
0.946893,0,1,0
0.946997,1,1,0
0.947933,0,1,0
0.948037,1,1,0
0.948973,0,1,0
0.949077,1,1,0
0.950013,0,1,0
0.950117,1,1,0
0.951054,0,1,0
0.95199,1,1,0
0.952094,0,1,0
0.952198,1,1,0
0.953134,0,1,0
0.953238,1,1,0
0.953342,0,1,0
0.953446,1,1,0
0.95355,0,1,0
0.953758,1,1,0
0.953862,0,1,0
0.953966,1,1,0
0.954174,0,1,0
0.954278,1,1,0
0.954382,0,1,0
0.95511,1,1,0
0.955214,0,1,0
0.955318,1,1,0
0.955735,0,1,0
0.956151,1,1,0
0.956255,0,1,0
0.956775,1,1,0
0.956879,0,1,0
0.957191,1,1,0
0.957295,0,1,0
0.957503,1,1,0
0.957607,0,1,0
0.958231,1,1,0
0.958335,0,1,0
0.958439,1,1,0
0.958543,0,1,0
0.958647,1,1,0
0.958959,0,1,0
0.959271,1,1,0
0.959375,0,1,0
0.959479,1,1,0
0.959895,0,1,0
0.960311,1,1,0
0.960415,0,1,0
0.960519,1,1,0
0.960623,0,1,0
0.960831,1,1,0
0.961039,0,1,0
0.961352,1,1,0
0.961456,0,1,0
0.962392,1,1,0
0.962496,0,1,0
0.963432,1,1,0
0.963536,0,1,0
0.964472,1,1,0
0.964576,0,1,0
0.965512,1,1,0
0.965616,0,1,0
0.966553,1,1,0
0.966657,0,1,0
0.967593,1,1,0
0.967697,0,1,0
0.968633,1,1,0
0.968737,0,1,0
0.969673,1,1,0
0.969777,0,1,0
0.970713,1,1,0
0.970817,0,1,0
0.971753,1,1,0
0.971857,0,1,0
0.972794,1,1,0
0.972898,0,1,0
0.973002,1,1,0
0.973106,0,1,0
0.973834,1,1,0
0.973938,0,1,0
0.974146,1,1,0
0.97425,0,1,0
0.974666,1,1,0
0.97477,0,1,0
0.974874,1,1,0
0.974978,0,1,0
0.975186,1,1,0
0.97529,0,1,0
0.975706,1,1,0
0.97581,0,1,0
0.975914,1,1,0
0.976018,0,1,0
0.976226,1,1,0
0.97633,0,1,0
0.976954,1,1,0
0.977058,0,1,0
0.977579,1,1,0
0.977683,0,1,0
0.977787,1,1,0
0.977891,0,1,0
0.977995,1,1,0
0.978099,0,1,0
0.978203,1,1,0
0.978515,0,1,0
0.978827,1,1,0
0.978931,0,1,0
0.979035,1,1,0
0.979139,0,1,0
0.979243,1,1,0
0.980179,0,1,0
0.980387,1,1,0
0.980491,0,1,0
0.981115,1,1,0
0.981219,0,1,0
0.981635,1,1,0
0.981739,0,1,0
0.981843,1,1,0
0.981947,0,1,0
0.982155,1,1,0
0.982259,0,1,0
0.982571,1,1,0
0.982675,0,1,0
0.983196,1,1,0
0.9833,0,1,0
0.984236,1,1,0
0.98434,0,1,0
0.985276,1,1,0
0.98538,0,1,0
0.986316,1,1,0
0.98642,0,1,0
0.987356,1,1,0
0.98746,0,1,0
0.987564,1,1,0
0.987668,0,1,0
0.987876,1,1,0
0.98798,0,1,0
0.988084,1,1,0
0.988188,0,1,0
0.988397,1,1,0
0.988501,0,1,0
0.988605,1,1,0
0.988813,0,1,0
0.988917,1,1,0
0.989021,0,1,0
0.989437,1,1,0
0.989541,0,1,0
0.989645,1,1,0
0.989853,0,1,0
0.990477,1,1,0
0.990581,0,1,0
0.990685,1,1,0
0.990893,0,1,0
0.990997,1,1,0
0.991101,0,1,0
0.991413,1,1,0
0.991622,0,1,0
0.991634,1,1,0
1.000062,1,1,1
1.000065,1,0,1
1.000077,0,0,1
1.000169,0,1,1
1.001107,0,0,1
1.002044,0,1,1
1.002149,0,0,1
1.002253,0,1,1
1.00319,0,0,1
1.003295,0,1,1
1.003399,0,0,1
1.003503,0,1,1
1.003607,0,0,1
1.003815,0,1,1
1.00392,0,0,1
1.004024,0,1,1
1.004232,0,0,1
1.004336,0,1,1
1.004441,0,0,1
1.00517,0,1,1
1.005274,0,0,1
1.005795,0,1,1
1.005899,0,0,1
1.006212,0,1,1
1.006316,0,0,1
1.006941,0,1,1
1.007045,0,0,1
1.007254,0,1,1
1.007358,0,0,1
1.007566,0,1,1
1.007774,0,0,1
1.008191,0,1,1
1.0084,0,0,1
1.008608,0,1,1
1.008712,0,0,1
1.009337,0,1,1
1.009441,0,0,1
1.00965,0,1,1
1.009858,0,0,1
1.010379,0,1,1
1.010483,0,0,1
1.010587,0,1,1
1.010692,0,0,1
1.011421,0,1,1
1.011525,0,0,1
1.011629,0,1,1
1.011733,0,0,1
1.012463,0,1,1
1.012567,0,0,1
1.012671,0,1,1
1.012775,0,0,1
1.012879,1,1,1
1.01288,0,1,1
1.012984,0,0,1
1.013192,0,1,1
1.0134,0,0,1
1.013505,0,1,1
1.015014,1,1,0
1.016586,0,1,0
1.01669,1,1,0
1.017626,0,1,0
1.01773,1,1,0
1.018666,0,1,0
1.01877,1,1,0
1.019706,0,1,0
1.01981,1,1,0
1.020746,0,1,0
1.02085,1,1,0
1.021787,0,1,0
1.021891,1,1,0
1.022827,0,1,0
1.022931,1,1,0
1.023867,0,1,0
1.023971,1,1,0
1.024907,0,1,0
1.025843,1,1,0
1.025947,0,1,0
1.026051,1,1,0
1.026988,0,1,0
1.027092,1,1,0
1.027196,0,1,0
1.0273,1,1,0
1.027404,0,1,0
1.027612,1,1,0
1.027716,0,1,0
1.02782,1,1,0
1.028028,0,1,0
1.028132,1,1,0
1.028236,0,1,0
1.028964,1,1,0
1.029068,0,1,0
1.029692,1,1,0
1.029796,0,1,0
1.029974,1,1,1
1.029975,0,1,0
1.029988,1,1,1
1.029989,0,1,0
1.030004,1,1,0
1.030108,0,1,0
1.030628,1,1,0
1.030732,0,1,0
1.031044,1,1,0
1.031148,0,1,0
1.031252,1,1,0
1.031356,0,1,0
1.032085,1,1,0
1.032189,0,1,0
1.032293,1,1,0
1.032397,0,1,0
1.033125,1,1,0
1.033229,0,1,0
1.033437,1,1,0
1.033645,0,1,0
1.034061,1,1,0
1.034269,0,1,0
1.034373,1,1,0
1.034477,0,1,0
1.035205,1,1,0
1.035309,0,1,0
1.035517,1,1,0
1.035933,0,1,0
1.036037,1,1,0
1.036141,0,1,0
1.036245,1,1,0
1.03635,0,1,0
1.036363,1,1,0
1.066099,0,1,0
1.066203,1,1,0
1.067139,0,1,0
1.067243,1,1,0
1.068179,0,1,0
1.068283,1,1,0
1.069219,0,1,0
1.069323,1,1,0
1.07026,0,1,0
1.070364,1,1,0
1.0713,0,1,0
1.071404,1,1,0
1.07234,0,1,0
1.072444,1,1,0
1.07338,0,1,0
1.073484,1,1,0
1.07442,0,1,0
1.075357,1,1,0
1.075461,0,1,0
1.075565,1,1,0
1.076501,0,1,0
1.076605,1,1,0
1.076709,0,1,0
1.076813,1,1,0
1.076917,0,1,0
1.077125,1,1,0
1.077229,0,1,0
1.077333,1,1,0
1.077541,0,1,0
1.077645,1,1,0
1.077749,0,1,0
1.078477,1,1,0
1.078581,0,1,0
1.078685,1,1,0
1.079101,0,1,0
1.079517,1,1,0
1.079621,0,1,0
1.080141,1,1,0
1.080245,0,1,0
1.080557,1,1,0
1.080661,0,1,0
1.08087,1,1,0
1.080974,0,1,0
1.081598,1,1,0
1.081702,0,1,0
1.081806,1,1,0
1.08191,0,1,0
1.082014,1,1,0
1.082326,0,1,0
1.082638,1,1,0
1.082742,0,1,0
1.082846,1,1,0
1.083262,0,1,0
1.083678,1,1,0
1.083782,0,1,0
1.083886,1,1,0
1.08399,0,1,0
1.084198,1,1,0
1.084406,0,1,0
1.084718,1,1,0
1.084822,0,1,0
1.085446,1,1,0
1.08555,0,1,0
1.085758,1,1,0
1.085862,0,1,0
1.086799,1,1,0
1.086903,0,1,0
1.087839,1,1,0
1.087943,0,1,0
1.088879,1,1,0
1.088983,0,1,0
1.089919,1,1,0
1.090023,0,1,0
1.090959,1,1,0
1.091063,0,1,0
1.092,1,1,0
1.092104,0,1,0
1.09304,1,1,0
1.093144,0,1,0
1.09408,1,1,0
1.094184,0,1,0
1.09512,1,1,0
1.095224,0,1,0
1.09616,1,1,0
1.096264,0,1,0
1.096368,1,1,0
1.096472,0,1,0
1.097201,1,1,0
1.097305,0,1,0
1.097513,1,1,0
1.097617,0,1,0
1.098033,1,1,0
1.098137,0,1,0
1.098241,1,1,0
1.098345,0,1,0
1.098553,1,1,0
1.098657,0,1,0
1.099073,1,1,0
1.099177,0,1,0
1.099281,1,1,0
1.099385,0,1,0
1.099593,1,1,0
1.099697,0,1,0
1.100321,1,1,0
1.100425,0,1,0
1.100945,1,1,0
1.101049,0,1,0
1.101153,1,1,0
1.101257,0,1,0
1.101361,1,1,0
1.101465,0,1,0
1.101569,1,1,0
1.101881,0,1,0
1.102193,1,1,0
1.102297,0,1,0
1.102401,1,1,0
1.102505,0,1,0
1.10261,1,1,0
1.103546,0,1,0
1.103754,1,1,0
1.103858,0,1,0
1.104482,1,1,0
1.104586,0,1,0
1.105002,1,1,0
1.105106,0,1,0
1.10521,1,1,0
1.105314,0,1,0
1.105522,1,1,0
1.105626,0,1,0
1.105938,1,1,0
1.106042,0,1,0
1.106562,1,1,0
1.106666,0,1,0
